R,average_c
348,4.3681747360816874e-08
317,1.6129033593012973e-08
351,3.517803793743403e-08
300,3.444316826717535e-08
256,2.1727886407957624e-08
342,7.885306704393816e-08
300,4.4170518073383564e-08
296,6.333740375670795e-08
309,3.8453671884828437e-08
319,3.1999991992557756e-08
271,1.0625890767536975e-08
311,5.232557369792775e-08
369,8.56327359493621e-08
360,6.46498115080297e-08
321,5.5335989091510905e-08
311,7.440475992550834e-08
339,2.4489802611938515e-08
340,2.5228363257962785e-08
319,5.449590783382763e-08
258,1.10091736346628e-08
339,1.2145757581563086e-07
356,3.4642029191306156e-08
290,4.419563949105598e-08
370,8.372092555821131e-08
303,7.89177119523652e-08
324,5.1427102848418085e-08
303,2.254259371239505e-08
286,2.0090411881807003e-08
329,2.2471903994257848e-08
304,3.4843205770247676e-08
312,5.944986949230169e-08
322,2.9680366268882294e-08
348,6.392693589014433e-08
358,6.251221056388777e-08
273,5.450733640888274e-08
287,1.639344261065831e-08
296,5.4080625939363134e-08
260,3.8095251997352114e-08
303,3.376477028531938e-08
315,6.099110794461317e-08
309,3.090507933389078e-08
308,6.02409156473737e-08
295,2.7901786295017908e-08
319,2.4147728683314338e-08
354,4.017041960602252e-08
347,1.7508753249692428e-08
325,5.4704606937439076e-08
315,5.1502144645317914e-08
303,2.0250725237030708e-08
331,6.850878247530454e-08
346,2.2253134610976936e-08
357,7.227333898358548e-08
290,4.424778820863451e-08
245,6.46108662084702e-08
